Category,Unit,Process,Total  eco-costs  (euro),eco-costs of human health (euro),eco-costs of exo-tocicity (euro ),eco-costs of resource (scarcity   euro),eco-costs of carbon  (footprint euro),eco-costs of Acidification (euro ),eco-costs of Eutrophication (euro ),eco-costs of Photochemical (oxidants   euro ),eco-costs of Fine dust (euro ),eco-costs of Human tocicity (cancer        euro ),eco-costs of Human tocicity (non-canc  euro),eco-costs of Ecotoxicity  (freshwater euro ),eco-costs of Metals Scarcity (euro ),eco-costs of fossil products (              euro),eco-costs of uranium (euro ),eco-costs of land-use (euro ),eco-costs of Baseline Water (Stress       euro ),eco-costs of Landfill ( euro ),Carbon footprint (kg CO2 equiv.),CED (Total) (MJ),Non-renewable fossil (MJ),Non-renewable nuclear (MJ),Non-renewable biomass (MJ),Renewable biomass (MJ),"Renewable wind, solar, geo (MJ)",Renewable water (MJ),ReCiPe2016 endpoint (Pt) (World(2010) H/A),ReCiPe human health (Pt),ReCiPe ecotoxixity (Pt),ReCiPe resources (Pt),ReCiPe human health (DALY),ReCiPe ecotoxixity (species.year),ReCiPe resources (USD2013),"Global warming,  Human health (DALY)","Global warming,  Terrestrial ecosystems (species.year)","Global warming,  Freshwater ecosystems (species.year)",Stratospheric  ozone depletion (DALY),Ionizing  radiation (DALY),"Ozone formation,  Human health (DALY)",Fine particulate  matter formation (DALY),"Ozone formation,  Terrestrial ecosystems (species.year)",Terrestrial  acidification (species.year),Freshwater  eutrophication (species.year),Marine  eutrophication (species.year),Terrestrial  ecotoxicity (species.year),Freshwater  ecotoxicity (species.year),Marine  ecotoxicity (species.year),Human  carcinogenic toxicity (DALY),Human  non-carcinogenic toxicity (DALY),Land use . (species.year),mineral resource  scarcity (USD2013),Fossil resource  scarcity (USD2013),"Water consumption,  Human health (DALY)","Water consumption,  Terrestrial ecosystem (species.year)","Water consumption,  Aquatic ecosystems (species.year)",EF 3.1 Total (Pt),Acidification  (Pt),Climate change  (Pt),Ecotoxicity freshwater (Pt),Particulate  matter (Pt),"Eutrophication,  marine (Pt)","Eutrophication,  freshwater (Pt)","Eutrophication,  terrestrial (Pt)","Human toxicity,  cancer (Pt)","Human toxicity, non-cancer non-cancer (Pt)",Ionising radiation  (Pt),Land use  (Pt),Ozone depletion  (Pt),Photochemical ozone formation  (Pt),"Resource use,  fossils (Pt)","Resource use,  minerals+metals (Pt)",Water use  (Pt),Sources of LCI:
"waste treatment, co-firing power plant thermoplastics ",kg ,PE (Polyethylene) co-firing in electrical power plant,"-0,0900","-0,0043","-0,0151","-0,0050","-0,06566","-0,012636827","-0,00059950489","-0,00090241913","-0,0027378687","-0,00032613477","-0,0002844803","-0,0018702034","-0,00067099862",0,"-0,0042945294","-0,000014192051",0,0,"-0,4937","-51,186305","-50,485711","-0,58223013",0,0,"-0,0058292188","-0,11253466","-0,01624","-0,01320","-0,00050","-0,00253","-0,0000007915818599","-0,000000001862587237","-0,3546700157","-5,10E-07","-1,54E-09","-4,20E-14","-0,00000000022880122",0,"-1,34E-10","-2,76E-07","-2,70E-11","-2,76E-10",0,0,0,0,0,"-0,0000000035522925","-0,000000001361953",0,"-3,16E-05","-0,35463844",0,0,0,"-8,10E-05","-1,92E-06","-1,38E-05","-0,00000022019561","-4,01E-06","-3,37E-08","-0,00000000042802923","-7,37E-08","-0,0000004376499","-0,00000018824227","-0,00000022340109","-0,000000012809596","-0,000000003943452","-9,51E-07","-5,90E-05","-1,56E-07",0,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"waste treatment, co-firing power plant thermoplastics ",kg ,PEEK (Polyetheretherketone) co-firing in electrical power pl,"0,0256","-0,0030","-0,0104","-0,0034","0,04248","-0,00866161","-0,00049669718","-0,00069060934","-0,0018766064","-2,24E-04","-1,95E-04","-0,0012818861","-0,0004599199",0,"-0,0029435822","-9,73E-06","0,00E+00",0,"0,3194","-35,084425","-34,604219","-0,39907567",0,0,"-0,0039954981","-0,077134183","-0,00047","0,00112","0,00015","-0,00174","0,00000006700704143","0,0000000005627015759","-0,2431000528","2,61E-07","7,85E-10","2,15E-14","-1,57E-10","-2,04E-11","-1,03E-10","-1,90E-07","-2,00E-11","-1,90E-10","-2,29E-13","-1,17E-15","-4,85E-13","-2,80E-14","-2,12E-14","-2,43E-09","-9,34E-10","-1,21E-11","-2,16E-05","-0,24307841","0,00E+00","0,00E+00","0,00E+00","-3,72E-05","-1,33E-06","8,90E-06","-1,51E-07","-2,75E-06","-3,00E-08","-2,93E-10","-6,10E-08","-3,00E-07","-1,29E-07","-1,53E-07","-8,78E-09","-2,70E-09","-6,66E-07","-4,04E-05","-1,07E-07","0,00E+00","HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"waste treatment, co-firing power plant thermoplastics ",kg ,PEF (Polyethylene Furanoate) waste incineration in electrica,"-0,2405","-0,0012","-0,0062","-0,0024","-0,23081","-0,0060350766","0,00074724189","0,00043735051","-1,31E-03","-0,00015575495","-0,00013586167","-0,00089316889","-0,0003204545",0,"-0,0020509748","-0,0000067778179",0,0,"-1,7354","-24,445477","-24,110889","-0,27806058",0,0,"-0,0027839094","-0,053744132","-0,03193","-0,02935","-0,00137","-0,00121","-0,00000175972053","-0,000000005059387576","-0,1693827699","-1,64E-06","-4,93E-09","-1,35E-13","-0,00000000010927054",0,"6,50E-11","-1,22E-07","5,39E-12","-1,21E-10",0,0,0,0,0,"-0,0000000016964984","-0,00000000065043946",0,"-1,51E-05","-0,16936769",0,0,0,"-8,00E-05","-8,00E-07","-4,84E-05","-0,00000010516068","-1,88E-06","6,75E-08","-0,00000000020441755","9,17E-08","-0,00000020901217","-0,000000089900458","-0,00000010669155","-0,0000000061175874","-0,0000000018833078","-2,88E-07","-2,82E-05","-7,46E-08",0,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"waste treatment, co-firing power plant thermoplastics ",kg ,PET (Polyethylene terephthalate) co-firing in electrical pow,"0,0406","-0,0022","-0,0078","-0,0026","0,05318","-0,0065734168","-0,00028049071","-0,00044307363","-0,0014241828","-0,00016964858","-0,00014798079","-0,00097284123","-0,00034903964",0,"-0,0022339256","-0,000007382412",0,0,"0,3998","-26,62606","-26,261625","-0,3028641",0,0,"-0,0030322394","-0,058538209","0,00222","0,00330","0,00024","-0,00132","0,0000001978961904","0,0000000008706375869","-0,184492025","3,44E-07","1,04E-09","2,84E-14","-0,00000000011901767",0,"-6,59E-11","-1,43E-07","-1,35E-11","-1,43E-10",0,0,0,0,0,"-0,0000000018478293","-0,00000000070845988",0,"-1,64E-05","-0,1844756",0,0,0,"-2,38E-05","-9,95E-07","1,11E-05","-0,00000011454122","-2,09E-06","-1,50E-08","-0,00000000022265198","-3,45E-08","-0,00000022765645","-0,000000097919748","-0,00000011620864","-0,0000000066632877","-0,0000000020513024","-4,90E-07","-3,07E-05","-8,13E-08",0,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"waste treatment, co-firing power plant thermoplastics ",kg ,PHA (Polyhydroxyalkanoates) co-firing in electrical power pl,"-0,3017","-0,0036","-0,0102","-0,0029","-0,28499","-7,45E-03","-1,65E-03","-1,62E-03","-1,61E-03","-1,92E-04","-1,68E-04","-1,10E-03","-3,96E-04","0,00E+00","-2,53E-03","-8,37E-06",0,0,"-2,1427","-3,02E+01","-29,770722","-3,43E-01","0,00E+00","0,00E+00","-3,44E-03","-6,64E-02","-0,03986","-0,03665","-0,00171","-0,00149","-0,000002197529796","-0,000000006319451223","-0,2091439798","-2,02E-06","-6,09E-09","-1,66E-13","-1,35E-10","-1,75E-11","-2,41E-10","-1,75E-07","-3,88E-11","-1,76E-10","-1,97E-13","-1,01E-15","-4,17E-13","-2,41E-14","-1,82E-14","-2,09E-09","-8,03E-10","-1,04E-11","-1,86E-05","-2,09E-01",0,0,0,"-1,00E-04","-1,28E-06","-5,97E-05","-1,30E-07","-2,41E-06","-1,24E-07","-2,52E-10","-2,02E-07","-2,58E-07","-1,11E-07","-1,32E-07","-7,55E-09","-2,33E-09","-7,68E-07","-3,48E-05","-9,22E-08",0,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"waste treatment, co-firing power plant thermoplastics ",kg ,PLA (Polylactide) co-firing in electrical power plant,"-0,2161","-0,0017","-0,0063","-0,0021","-0,20588","-5,38E-03","-1,52E-04","-2,97E-04","-1,17E-03","-1,39E-04","-1,21E-04","-7,97E-04","-2,86E-04",0,"-1,83E-03","-6,05E-06",0,0,"-1,5480","-21,805825","-21,507366","-0,24803526","0,00E+00","0,00E+00","-2,48E-03","-4,79E-02","-0,02862","-0,02631","-0,00123","-0,00108","-0,000001577580418","-0,000000004536133652","-0,1510926115","-1,46E-06","-4,40E-09","-1,20E-13","-9,75E-11","-1,27E-11","-4,43E-11","-1,17E-07","-9,68E-12","-1,16E-10","-1,42E-13","-7,29E-16","-3,01E-13","-1,74E-14","-1,32E-14","-1,51E-09","-5,80E-10","-7,51E-12","-1,35E-05","-0,15107916",0,0,0,"-7,17E-05","-8,06E-07","-4,32E-05","-9,38E-08","-1,71E-06","-5,98E-09","-1,82E-10","-1,87E-08","-1,86E-07","-8,02E-08","-9,52E-08","-5,46E-09","-1,68E-09","-3,89E-07","-2,51E-05","-6,66E-08",0,"Litt. https://www.unitika.co.jp/terramac/e/how/#:~:text=The%20heat%20of%20combustion%20of,SOx)%20is%20emitted%20during%20combustion. "
"waste treatment, co-firing power plant thermoplastics ",kg ,PMMA (Polymethyl methacrylate) co-firing in electrical power,"0,0069","-0,0024","-0,0085","-0,0028","0,02062","-0,007111757","-0,00036123571","-0,00052789776","-0,0015408185","-0,00018354222","-0,0001600999","-0,0010525136","-0,00037762478",0,"-0,0024168764","-0,0000079870061",0,0,"0,1550","-28,806642","-28,412362","-0,32766763",0,0,"-0,0032805693","-0,063332287","-0,00212","-0,00073","0,00004","-0,00143","-0,0000000440128394","0,0000000001631696098","-0,1996012902","1,15E-07","3,45E-10","9,46E-15","-0,00000000012876481",0,"-7,85E-11","-1,56E-07","-1,56E-11","-1,55E-10",0,0,0,0,0,"-0,0000000019991601","-0,0000000007664803",0,"-1,78E-05","-0,19958352",0,0,0,"-3,35E-05","-1,08E-06","4,32E-06","-0,00000012392175","-2,26E-06","-2,09E-08","-0,00000000024088641","-4,44E-08","-0,00000024630073","-0,00000010593904","-0,00000012572572","-0,000000007208988","-0,000000002219297","-5,39E-07","-3,32E-05","-8,80E-08",0,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"waste treatment, co-firing power plant thermoplastics ",kg ,"POM (Polyoxymethylene, polyacetaal) co-firing in electrical ","0,0145","-0,0015","-0,0054","-0,0018","0,02322","-0,0045050572","-0,00024247092","-0,00034586511","-0,00097605635","-0,00011626778","-0,00010141787","-0,0006667317","-0,00023921251",0,"-0,0015310094","-0,0000050594979",0,0,"0,1746","-18,248032","-17,998269","-0,20756635",0,0,"-0,0020781296","-0,040118859","-0,00010","0,00071","0,00009","-0,00090","0,00000004286361506","0,0000000003168324415","-0,1264406568","1,43E-07","4,32E-10","1,18E-14",0,0,"-5,14E-11","-9,87E-08","-1,01E-11","-9,86E-11",0,0,0,0,0,"-0,0000000012664002","-0,00000000048553931",0,"-1,13E-05","-0,1264294",0,0,0,"-1,91E-05","-6,88E-07","4,87E-06","-0,000000078500229","-1,43E-06","-1,43E-08","-0,00000000015259338","-2,98E-08","-0,00000015602317","-0,000000067108793","-0,000000079642988","-0,0000000045666498","-0,0000000014058495","-3,44E-07","-2,10E-05","-5,57E-08",0,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"waste treatment, co-firing power plant thermoplastics ",kg ,PP (Polypropylene) co-firing in electrical power plant,"-0,0684","-0,0041","-0,0145","-0,0048","-0,04507","-0,012098487","-0,00059160509","-0,00087879499","-0,0026212331","-0,00031224114","-0,00027236119","-0,0017905311","-0,00064241347",0,"-0,0041115786","-1,36E-05",0,0,"-0,3389","-49,005722","-48,334974","-0,5574266",0,0,"-0,0055808888","-0,10774058","-0,01338","-0,01057","-0,00038","-0,00242","-0,0000006338939301","-0,000000001409179114","-0,3395607505","-3,64E-07","-1,10E-09","-3,00E-14","-2,19E-10","-2,85E-11","-1,31E-10","-2,65E-07","-2,62E-11","-2,64E-10","-3,19E-13","-1,64E-15","-6,77E-13","-3,91E-14","-2,96E-14","-3,40E-09","-1,30E-09","-1,69E-11","-3,02E-05","-0,33953052",0,0,0,"-7,38E-05","-1,84E-06","-9,45E-06","-2,11E-07","-3,84E-06","-3,37E-08","-4,10E-10","-7,27E-08","-4,19E-07","-1,80E-07","-2,14E-07","-1,23E-08","-3,78E-09","-9,13E-07","-5,65E-05","-1,50E-07",0,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"waste treatment, co-firing power plant thermoplastics ",kg ,PS (Polystyrene) co-firing in electrical power plant,"-0,0285","-0,0040","-0,0142","-0,0047","-0,00557","-0,011900151","-0,00055802297","-0,00084432294","-0,002578262","-0,00030712243","-0,00026789625","-0,0017611781","-0,00063188211",0,"-0,0040441757","-1,34E-05",0,0,"-0,0419","-48,20235","-47,542598","-0,54828846",0,0,"-0,0054893988","-0,10597434","-0,00842","-0,00588","-0,00015","-0,00238","-0,0000003527831765","-0,0000000005692512645","-0,333994185","-8,78E-08","-2,67E-10","-7,21E-15","-2,15E-10","-2,80E-11","-1,26E-10","-2,60E-07","-2,53E-11","-2,59E-10","-3,14E-13","-1,61E-15","-6,66E-13","-3,85E-14","-2,91E-14","-3,35E-09","-1,28E-09","-1,66E-11","-2,97E-05","-0,33396445",0,0,0,"-6,45E-05","-1,81E-06","-1,17E-06","-2,07E-07","-3,78E-06","-3,12E-08","-4,03E-10","-6,86E-08","-4,12E-07","-1,77E-07","-2,10E-07","-1,21E-08","-3,71E-09","-8,95E-07","-5,56E-05","-1,47E-07",0,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"waste treatment, co-firing power plant thermoplastics ",kg ,"PTFE (Teflon, Polytetrafluoroethylene) co-firing in electric","0,0407","-0,0007","-0,0023","-0,0007","0,04444","-0,0018983574","-0,00012370614","-0,00016383247","-0,00041129418","-0,00004899334","-0,00004273583","-0,00028094984","-0,00010080024",0,"-0,00064514231","-2,13E-06",0,0,"0,3341","-7,6894225","-7,5841763","-0,087465064",0,0,"-0,00087568981","-0,016905431","0,00418","0,00433","0,00023","-0,00038","0,0000002596600635","0,0000000008625059858","-0,05328002444","3,02E-07","9,12E-10","2,49E-14","-3,44E-11","-4,47E-12","-2,44E-11","-4,18E-08","-4,66E-12","-4,18E-11","-5,01E-14","-2,57E-16","-1,06E-13","-6,14E-15","-4,64E-15","-5,34E-10","-2,05E-10","-2,65E-12","-4,74E-06","-0,053275281",0,0,0,"-8,00E-07","-2,92E-07","9,32E-06","-3,31E-08","-6,04E-07","-7,78E-09","-6,43E-11","-1,52E-08","-6,57E-08","-2,83E-08","-3,36E-08","-1,92E-09","-5,92E-10","-1,48E-07","-8,86E-06","-2,35E-08",0,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"waste treatment, co-firing power plant thermoplastics ",kg ,PTT (Polyltrimethylene terephthalate) co-firing in electrica,"-0,0401","-0,0038","-0,0097","-0,0026","-0,02396","-0,0065734168","-0,0021744659","-0,0020342736","-0,0014241828","-0,00016964858","-0,00014798079","-0,00097284123","-0,00034903964",0,"-0,0022339256","-7,38E-06",0,0,"-0,1802","-26,62606","-26,261625","-0,3028641",0,0,"-0,0030322394","-0,058538209","-0,00752","-0,00598","-0,00022","-0,00132","-0,0000003585724096","-0,0000000008067848131","-0,184492025","-1,94E-07","-5,87E-10","-1,60E-14","-1,19E-10","-1,55E-11","-3,03E-10","-1,61E-07","-4,70E-11","-1,63E-10","-1,74E-13","-8,90E-16","-3,68E-13","-2,12E-14","-1,61E-14","-1,85E-09","-7,08E-10","-9,17E-12","-1,64E-05","-0,1844756",0,0,0,"-4,09E-05","-1,21E-06","-0,0000050238422","-1,15E-07","-2,15E-06","-1,68E-07","-2,23E-10","-2,67E-07","-2,28E-07","-9,79E-08","-1,16E-07","-6,66E-09","-2,05E-09","-7,94E-07","-3,07E-05","-8,13E-08",0,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS, Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
"waste treatment, co-firing power plant thermoplastics ",kg ,PUR (Polyurethane) co-firing in electrical power plant,"-0,0096","-0,0065","-0,0149","-0,0035","0,01535","-0,008953447","-0,0046171169","-0,0041615382","-0,0019398353","-0,00023107307","-0,00020156004","-0,0013250768","-0,00047541606",0,"-0,0030427608","-1,01E-05",0,0,"0,1154","-36,26653","-35,770145","-0,41252179",0,0,"-0,0041301191","-0,079733078","-0,00466","-0,00283","-0,00004","-0,00179","-0,0000001694522489","-0,0000000001351078142","-0,251290862","7,03E-08","2,11E-10","5,82E-15","-1,62E-10","-2,11E-11","-6,19E-10","-2,35E-07","-9,34E-11","-2,39E-10","-2,36E-13","-1,21E-15","-5,01E-13","-2,89E-14","-2,19E-14","-2,52E-09","-9,65E-10","-1,25E-11","-2,24E-05","-0,25126849",0,0,0,"-4,66E-05","-1,84E-06","3,22E-06","-1,56E-07","-2,98E-06","-3,63E-07","-3,03E-10","-5,67E-07","-3,10E-07","-1,33E-07","-1,58E-07","-9,08E-09","-2,79E-09","-1,35E-06","-4,18E-05","-1,11E-07",0,"Litt. Liviu Costiuc, Mircea Tierean, Liana Baltes, Silvia Patachia. EXPERIMENTAL INVESTIGATION ON THE HEAT OF COMBUSTION FOR SOLID PLASTIC WASTE MIXTURES. Environmental Engineering and Management Journal June 2015, Vol.14, No. 6, 1295-1302 . http://omicron.ch.tuiasi.ro/EEMJ/"
"waste treatment, co-firing power plant thermoplastics ",kg ,PVC (Polyvinylchloride) co-firing in electrical power plant,"-0,0296","-0,0022","-0,0069","-0,0021","-0,01835","-0,0053834017","-0,00073460481","-0,00075862862","-0,0011663566","-0,00013893634","-0,00012115654","-0,00079672342","-0,00028585143",0,"-0,001829508","-6,05E-06",0,0,"-0,1380","-21,805825","-21,507366","-0,24803526",0,0,"-0,0024832995","-0,047940775","-0,00582","-0,00458","-0,00016","-0,00108","-0,0000002747049723","-0,0000000006034851172","-0,1510926115","-1,50E-07","-4,54E-10","-1,24E-14","-9,75E-11","-1,27E-11","-1,13E-10","-1,22E-07","-1,90E-11","-1,22E-10","-1,42E-13","-7,29E-16","-3,01E-13","-1,74E-14","-1,32E-14","-1,51E-09","-5,80E-10","-7,51E-12","-1,35E-05","-0,15107916",0,0,0,"-3,27E-05","-8,72E-07","-3,85E-06","-9,38E-08","-1,72E-06","-5,31E-08","-1,82E-10","-9,02E-08","-1,86E-07","-8,02E-08","-9,52E-08","-5,46E-09","-1,68E-09","-4,82E-07","-2,51E-05","-6,66E-08",0,"Litt. Liviu Costiuc, Mircea Tierean, Liana Baltes, Silvia Patachia. EXPERIMENTAL INVESTIGATION ON THE HEAT OF COMBUSTION FOR SOLID PLASTIC WASTE MIXTURES. Environmental Engineering and Management Journal June 2015, Vol.14, No. 6, 1295-1302 . http://omicron.ch.tuiasi.ro/EEMJ/"
"waste treatment, co-firing power plant thermoplastics ",kg ,PVDC (Polyvinyliden chloride) co-firing in electrical power ,"0,9549","0,1098","0,8379","-0,0012","0,00834","-0,0029467041","-0,00016592767","-0,00023238473","-0,00063842679","-0,000076049364","0,11079128","0,84102584","-0,00015646605",0,"-0,0010014149","-3,31E-06",0,0,"0,0627","-11,93582","-11,772453","-0,13576667",0,0,"-0,0013592797","-0,026241266","-0,00090","-0,00033","0,00002","-0,00059","-0,00000001983473061",0,"-0,08270332194","4,60E-08","1,38E-10","3,80E-15","-5,34E-11","-6,93E-12","-3,46E-11","-6,46E-08","-6,77E-12","-6,45E-11","-7,78E-14","-3,99E-16","-1,65E-13","-9,53E-15","-7,20E-15","-8,28E-10","-3,18E-10","-4,11E-12","-7,36E-06","-0,082695959",0,0,0,"1,58E-04","-4,51E-07","1,75E-06","9,85E-05","-9,36E-07","-9,97E-09","-9,98E-11","-2,04E-08","-1,02E-07","7,33E-05","-5,21E-08","-2,99E-09","-9,20E-10","-2,26E-07","-1,38E-05","-3,64E-08",0,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"waste treatment, co-firing power plant thermoplastics ",kg ,Starch PBS 50%-50% (Polybutylene succinate) co-firing in ele,"-0,1935","-0,0016","-0,0058","-0,0019","-0,18421","-0,0048167278","-0,00024321054","-0,00035632119","-0,0010435823","-0,00012431146","-0,0001084342","-0,0007128578","-0,0002557618",0,"-0,0016369283","-5,41E-06",0,0,"-1,3850","-19,510475","-19,243432","-0,22192628",0,0,"-0,0022218995","-0,042894377","-0,02562","-0,02356","-0,00110","-0,00097","-0,000001412552548","-0,000000004061671348","-0,1351881256","-1,31E-06","-3,94E-09","-1,08E-13","-8,72E-11","-1,13E-11","-5,30E-11","-1,05E-07","-1,06E-11","-1,05E-10","-1,27E-13","-6,52E-16","-2,70E-13","-1,56E-14","-1,18E-14","-1,35E-09","-5,19E-10","-6,72E-12","-1,20E-05","-0,13517609",0,0,0,"-6,43E-05","-7,33E-07","-3,86E-05","-8,39E-08","-1,53E-06","-1,40E-08","-1,63E-10","-2,99E-08","-1,67E-07","-7,18E-08","-8,52E-08","-4,88E-09","-1,50E-09","-3,65E-07","-2,25E-05","-5,96E-08",0,https://en.wikipedia.org/wiki/Starch
"waste treatment, co-firing power plant thermoplastics ",kg ,PBS (Polybutylene succinate) co-firing in electrical power p,"-0,3066","-0,0038","-0,0105","-0,0030","-0,28932","-0,0075650961","-0,0018324601","-0,0017782339","-0,001639038","-0,00019524212","-0,00017030547","-0,0011196061","-0,00040169648",0,"-0,0025709403","-8,50E-06","0,00E+00",0,"-2,1753","-30,642922","-30,223509","-0,34855481",0,0,"-0,0034896893","-0,067369404","-0,04049","-0,03724","-0,00174","-0,00152","-0,000002232498528","-0,000000006420092124","-0,2123248729","-2,05E-06","-6,19E-09","-1,69E-13","-1,37E-10","-1,78E-11","-2,64E-10","-1,79E-07","-4,23E-11","-1,80E-10","-2,00E-13","-1,02E-15","-4,23E-13","-2,45E-14","-1,85E-14","-2,13E-09","-8,15E-10","-1,05E-11","-1,89E-05","-0,21230597","0,00E+00","0,00E+00","0,00E+00","-1,02E-04","-1,32E-06","-6,07E-05","-1,32E-07","-2,45E-06","-1,39E-07","-2,56E-10","-2,25E-07","-2,62E-07","-0,00000011269212","-1,34E-07","-7,67E-09","-2,36E-09","-8,06E-07","-3,53E-05","-9,36E-08","0,00E+00","energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"waste treatment, co-firing power plant thermoplastics ",kg ,PBAT (Polybutylene adipate terephthalate) co-firing in elect,"-0,3029","-0,0036","-0,0103","-0,0029","-0,28607","-0,007480095","-0,0016931903","-0,0016585458","-0,0016206219","-0,00019304839","-1,68E-04","-0,0011070262","-0,00039718304",0,"-0,0025420533","-8,40E-06",0,0,"-2,1509","-30,29862","-29,883919","-0,34463846",0,0,"-0,0034504793","-0,066612445","-0,04002","-0,03680","-0,00172","-0,00150","-0,000002206271976","-0,000000006344611496","-0,2099392006","-2,03E-06","-6,12E-09","-1,67E-13","-1,35E-10","-1,76E-11","-2,47E-10","-1,76E-07","-3,97E-11","-1,77E-10","-1,98E-13","-1,01E-15","-4,19E-13","-2,42E-14","-1,83E-14","-2,10E-09","-8,06E-10","-1,04E-11","-1,87E-05","-0,20992051",0,0,0,"-1,00E-04","-1,29E-06","-6,00E-05","-1,30E-07","-2,42E-06","-1,28E-07","-2,53E-10","-2,08E-07","-2,59E-07","-1,11E-07","-1,32E-07","-7,58E-09","-2,33E-09","-7,78E-07","-3,49E-05","-9,25E-08",0,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"waste treatment, co-firing power plant thermoplastics ",kg ,PHB (Polyhydroxybutyrate) co-firing in electrical power plan,"-0,2883","-0,0031","-0,0093","-0,0028","-0,27307","-0,0071400907","-0,001136111","-0,0011797938","-0,0015469572","-0,00018427346","-0,00016073775","-0,0010567069","-0,00037912926",0,"-0,0024265054","-8,02E-06",0,0,"-2,0531","-28,92141","-28,525559","-0,32897308",0,0,"-0,0032936393","-0,063584606","-0,03812","-0,03505","-0,00163","-0,00143","-0,00000210136598","-0,000000006042688893","-0,200396511","-1,93E-06","-5,84E-09","-1,59E-13","-1,29E-10","-1,68E-11","-1,75E-10","-1,64E-07","-2,94E-11","-1,64E-10","-1,89E-13","-9,67E-16","-3,99E-13","-2,31E-14","-1,74E-14","-2,01E-09","-7,70E-10","-9,96E-12","-1,78E-05","-0,20037867",0,0,0,"-9,56E-05","-1,18E-06","-5,72E-05","-1,24E-07","-2,29E-06","-8,35E-08","-2,42E-10","-1,40E-07","-2,47E-07","-1,06E-07","-1,26E-07","-7,24E-09","-2,23E-09","-6,65E-07","-3,33E-05","-8,83E-08",0,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"waste treatment, co-firing power plant thermosets ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"waste treatment, co-firing power plant thermosets ",kg ,Epoxies co-firing in electrical power plant,"-0,0117","-0,0032","-0,0112","-0,0037","0,00634","-0,0092934513","-0,00051210339","-7,23E-04","-0,0020134999","-0,00023984799","-2,09E-04","-0,0013753962","-0,00049346983",0,"-0,0031583086","-1,04E-05",0,0,"0,0477","-37,64374","-37,128505","-0,42818718",0,0,"-0,0042869591","-0,082760916","-0,00529","-0,00336","-0,00006","-0,00186","-0,0000002016478233","-0,0000000002216360739","-0,2608335516","6,01E-09","1,67E-11","5,18E-16","-1,68E-10","-2,19E-11","-1,08E-10","-2,04E-07","-2,11E-11","-2,03E-10","-2,45E-13","-1,26E-15","-5,20E-13","-3,00E-14","-2,27E-14","-2,61E-09","-1,00E-09","-1,30E-11","-2,32E-05","-0,26081033",0,0,0,"-4,81E-05","-1,42E-06","1,33E-06","-1,62E-07","-2,95E-06","-3,05E-08","-3,15E-10","-6,29E-08","-3,22E-07","-1,38E-07","-1,64E-07","-9,42E-09","-2,90E-09","-7,11E-07","-4,34E-05","-1,15E-07",0,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
